Subject, ITDmean, ITDmedian, ITDmin, ITDmax, FMleftMean, FMleftMedian, FMleftMin, FMleftMax, FMrightMean, FMrightMedian, FMrightMin, FMrightMax, mistakeITD, mistakeFMLeft, mistakeFMRight
S025, 28.777552, 27.910236, 24.243752, 37.593384, 16.689678, 15.624787, 12.942767, 22.566370, 20.016772, 20.211893, 18.524276, 21.119028, 0.006372, 0.000000, 0.000000

S031, 32.569650, 32.628022, 29.366947, 35.417040, 12.027375, 12.040139, 11.334641, 12.694582, 10.716706, 10.958229, 8.382586, 12.567779, 0.002451, 0.000000, 0.000000

S043, 31.538545, 30.922152, 29.127321, 34.932684, 14.988637, 14.531750, 13.759492, 17.131557, 14.097583, 14.188707, 12.819561, 15.193357, 0.005000, 0.000000, 0.000000

S046, 26.179012, 25.726393, 21.138097, 31.293321, 13.757198, 13.124154, 12.439096, 16.341386, 14.715647, 14.032010, 12.942767, 17.855801, 0.000000, 0.000000, 0.000000

S051, 33.713610, 33.599132, 27.889034, 44.860761, 15.820471, 16.131974, 13.302235, 17.715703, 15.137162, 14.849668, 13.870142, 16.979169, 0.028966, 0.000000, 0.000000

S072, 30.811894, 30.935828, 26.444386, 33.478840, 11.089116, 11.252779, 9.542425, 12.308479, 12.210193, 12.844307, 9.172757, 13.979400, 0.004701, 0.000000, 0.000000

S075, 26.849535, 27.060347, 24.760922, 29.127321, 14.549247, 14.607569, 13.979400, 15.002451, 14.110242, 14.044729, 13.064250, 15.287259, 0.000000, 0.000000, 0.000000

S078, 31.417356, 30.935828, 29.600139, 34.679986, 21.294327, 21.336512, 20.267279, 22.237007, 21.382595, 21.325898, 20.475334, 22.403249, 0.002049, 0.000000, 0.009434

S084, 29.089141, 29.247134, 26.927059, 30.578334, 13.735317, 13.962402, 12.308479, 14.707985, 12.973834, 12.631180, 12.439096, 14.193877, 0.000000, 0.000000, 0.000000

S117, 35.050729, 34.082179, 32.749795, 38.318544, 17.815713, 17.039292, 16.258267, 20.926000, 18.754582, 18.875470, 16.341386, 20.926000, 0.006264, 0.000000, 0.000000

S123, 25.805911, 25.963771, 23.045767, 27.889034, 12.084734, 11.475797, 10.881361, 14.505979, 9.184010, 9.170704, 7.513272, 10.881361, 0.000000, 0.006098, 0.000000

S127, 26.296629, 25.726393, 19.912704, 32.986697, 9.469995, 9.427829, 8.786654, 10.237667, 11.192113, 11.469754, 7.958800, 13.870142, 0.000000, 0.000000, 0.000000

S128, 28.689956, 28.880896, 24.506186, 31.053364, 9.069170, 8.584620, 8.382586, 10.724854, 10.863478, 11.257861, 9.172757, 11.765434, 0.000000, 0.000000, 0.000000

S129, 32.903776, 32.141442, 29.855208, 41.474367, 11.382088, 11.619526, 9.721522, 12.567779, 8.647133, 8.766417, 6.020600, 11.035097, 0.018125, 0.000000, 0.000000

S132, 23.624681, 23.287057, 22.542096, 25.249022, 7.871262, 8.479966, 5.165560, 9.359558, 8.494320, 9.439426, 4.217067, 10.881361, 0.000000, 0.000000, 0.000000

