Subject, ITD, FMleft, FMright, 500Hzleft, 500Hzright, 4000Hzleft, 4000Hzright, block, prctMstkITD, prctMstkFMleft, prctMstkFMright, mag20us, mag60us, mag180us, mag540us, magAvg, magAvgExcld20us, n1lat20us, n1lat60us, n1lat180us, n1lat540us, n1latAvg, n1latAvgExcld20, p2lat20us, p2lat60us, p2lat180us, p2lat540us, p2latAvg, p2latAvgExcld20, itc20, itc60, itc180, itc540, itcAvg, itcAvgExd20, itclat20, itclat60, itclat180, itclat540, itclatAvg, itclatAvgExd20, itc20left, itc60left, itc180left, itc540left, itcAvgleft, itcAvgExd20left, itclat20left, itclat60left, itclat180left, itclat540left, itclatAvgleft, itclatAvgExd20left, itc20right, itc60right, itc180right, itc540right, itcAvgright, itcAvgExd20right, itclat20right, itclat60right, itclat180right, itclat540right, itclatAvgright, itclatAvgExd20right
S025, 27.421357, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 1.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 24.243752, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 2.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 26.444386, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 3.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 29.855208, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 4.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 28.399115, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 5.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 24.243752, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 6.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 37.593384, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 7.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 
S025, 32.019458, 16.689678, 20.016772, 8.650000, 6.150000, -4.725000, 2.900000, 8.000000, 0.006400, 0.000000, 0.000000, 0.523000, 0.426000, 0.502000, 0.855000, 0.374000, 0.486000, 0.201700, 0.125500, 0.127700, 0.104700, 0.104700, 0.124800, 0.263700, 0.209200, 0.169900, 0.163800, 0.166000, 0.189200, 0.034800, 0.283100, 0.419100, 0.572700, 0.211400, 0.378700, 0.266400, 0.226100, 0.182600, 0.183600, 0.179900, 0.181200, NaN, 0.070300, 0.512800, 0.731800, 0.217000, 0.386900, NaN, 0.236800, 0.135700, 0.279500, 0.269300, 0.203100, 0.296400, 0.733800, 0.312100, 0.634100, 0.320200, 0.477100, 0.302700, 0.186300, 0.279100, 1.362000e-01, 0.170200, 0.177500, 

S031, 32.749795, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 1.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
